ZZ3_IDEQU,ZZ3_FILIAL,ZZ3_PLACA,ZZ3_FROTA ,ZZ3_EMPEQU,ZZ3_POSSE,ZZ3_TIPEQU,ZZ3_OBS,ZZ3_DATDIG,D_E_L_E_T_,R_E_C_N_O_
6930,,ODM3699,,PARTICULAR,PROPRIO,VLEVE,,,,
6931,,PHD2430,,PARTICULAR,PROPRIO,UTILIT,,,,
6932,,PHD2430,,PARTICULAR,PROPRIO,UTILIT,,,,
6933,,PWP6880,,PAREX,PROPRIO,CSC,01 CARRITILHA,,,
6934,,QEL6439,,TABAUMIX,PROPRIO,UTILIT,,,,
6935,,KCW6071,,PARTICULAR,PROPRIO,CAVMEC,,,,
6936,,JST0108,,TRANS PES,PROPRIO,CAVMEC,,,,
6937,,PZV2368,,TRANS PES,PROPRIO,CSC,,,,
6938,,QDM3699,HONDA FIT,PARTICULAR,PROPRIO,VLEVE,,,,
6939,,OTK0266,,AUTO SOCORRO MARTUBA,PROPRIO,TRUCK,PRANCHA,,,
6940,,MDF7729,FOX,PARTICULAR,PROPRIO,VLEVE,,,,
6941,,PSF7772,,PARTICULAR,PROPRIO,UTILIT,,,,
6942,,PZO6515,,DLC DIESEL ,PROPRIO,VLEVE,,,,
6943,,QEV7600,,DELTAMAQ,PROPRIO,VLEVE,,,,
6944,,QDW3360,,SOS EXTINTORES,PROPRIO,UTILIT,,,,
6945,,QMU4458,FOX,PARTICULAR,PROPRIO,VLEVE,,,,
6946,,JVR5702,KOMBI,PARTICULAR,PROPRIO,UTILIT,,,,
6947,,DYH1098,,SILVA AUTO SOCORRO,PROPRIO,TRUCK,PRANCHA,,,
6948,,KIN3233,IDEIA,PARTICULAR,PROPRIO,VLEVE,,,,
6949,,QEZ2902,,PARTICULAR,PROPRIO,VLEVE,,,,
6950,,JUO6936,,PARTICULAR],PROPRIO,VLEVE,,,,
6951,,JVW4435,,PARTICULAR,PROPRIO,VLEVE,,,,
6952,,QDA4795,,PARA FIBRA,PROPRIO,MOTO,,,,
6953,,LWJ5362,,PARTICULAR,PROPRIO,VLEVE,,,,
6954,,GSH9830,,TRANS PES MINAS,PROPRIO,CAVMEC,,,,
6955,,PZX4164,,TRANS PES MINAS ,PROPRIO,CSC,,,,
6956,,PVN5352,,PARTICULAR,PROPRIO,CAVMEC,,,,
6957,,PWO1289,,PARTICULAR,PROPRIO,CSC,,,,
6958,,JUI3049,,CIDADE LIMPA,PROPRIO,MUNCK,,,,
6959,,OFK8822,BROSS,BEL MAP,PROPRIO,MOTO,,,,
6960,,QEA5643,,TAXI,PROPRIO,VLEVE,,,,
6961,,OTV1469,CIVIC,PARTICULAR,PROPRIO,VLEVE,,,,
6962,,KHL2170,,SUCATA DO VALTINHO,PROPRIO,MUNCK,,,,
6963,,QDH9413,,FN FUNDACOES,PROPRIO,TRUCK,,,,
6964,,IDE2005,,PARTICULAR,PROPRIO,CAVMEC,,,,
6965,,AAR0927,,PARTICULAR,PROPRIO,CSC,,,,
6966,,HLQ1791,STRADA,TRANSPES MINAS,PROPRIO,UTILIT,,,,
6967,,AMJ3066,GOL,PARTICULAR,PROPRIO,VLEVE,,,,
6968,,OBT7812,,FUNDAÇAO DOM CABRAL,PROPRIO,UTILIT,,,,
6969,,EJW4756,,TRANS LOCOMOTIVA,PROPRIO,CSC,,,,
6970,,NSR2090,TOYOTA,PARTICULAR,PROPRIO,VLEVE,,,,
6971,,HBN0837,,PARTICULAR,PROPRIO,CAVMEC,,,,
6972,,PWO1270,,TRANSPES MINAS,PROPRIO,CSC,,,,
6973,,OFW3868,,BEL MAP,PROPRIO,UTILIT,,,,
6974,,EJW4623,,TRANS LOCOMOTIVA,PROPRIO,CSC,,,,
6975,,HBZ4204,,TRANS PES,PROPRIO,CSC,E 01 DOLLY,,,
6976,,JZE5650,,GRUPO ARIZONA,PROPRIO,CAVMEC,,,,
6977,,BXJ7001,,GRUPO ARIZONA,PROPRIO,CSC,,,,
6978,,PZH3403,GOL,REDE CONECTA,PROPRIO,VLEVE,,,,
6979,,NST1463,,TABALMIX,PROPRIO,TRUCK,CACAMBA,,,
6980,,NTB3502,,PARTICULAR,PROPRIO,VLEVE,,,,
6981,,NTC2727,,PARTICULAR,PROPRIO,VLEVE,,,,
6982,,OLI9747,,PARTICULAR,PROPRIO,CSC,,,,
6983,,PWT0177,FIORINO,SÓ RECUSOS ESCOLTA,PROPRIO,UTILIT,,,,
6984,,QKO9508,,SAL NOTA 10,PROPRIO,CAVMEC,,,,
6985,,QKO9944,,SAL NOTA 10,PROPRIO,CSC,,,,
6986,,FHK9950,,GRUPO ARIZONA,PROPRIO,UTILIT,,,,
6987,,JVS3369,,PARÁ FERRO,PROPRIO,MUNCK,,,,
6988,,OTP0178,,PARTICULAR,PROPRIO,MOTO,,,,
6989,,QMQ5787,,PARTICULAR,PROPRIO,VLEVE,,,,
6990,,QEW8629,7704,LOCAVEL,PROPRIO,UTILIT,,,,
6991,,NSY3246,,PARTICULAR,PROPRIO,VLEVE,,,,
6992,,OTP5061,,PARTICULAR,PROPRIO,MOTO,,,,
6993,,EZB9878,,PROGEL,PROPRIO,TRUCK,,,,
6994,,JUC7886,,PARTICULAR,PROPRIO,VLEVE,,,,
6995,,JUW4013,FIESTA,PARTICULAR,PROPRIO,VLEVE,,,,
6996,,OTD8612,,KARIZA,PROPRIO,TRUCK,,,,
6997,,NXD6736,,LOKCENTER ,PROPRIO,MUNCK,,,,
6998,,OLO9905,,PAREX CONTRUCAO,PROPRIO,MUNCK,,,,
